;Coreproductbrandnamebiopro;BioPro;
;Coreproductbrandnamebiosafesystems;Biosafe Systems;
;Coreproductbrandnamebishop;Bishop;
;Coreproductbrandnameblack&decker;Black & Decker;
;Coreproductbrandnameblazing;Blazing;
;Coreproductbrandnameblazingproducts;Blazing Products;
;Coreproductbrandnameblu-lock®;Blu-Lock®;
;Coreproductbrandnamebluemaxmaterials;Blue Max Materials;
;Coreproductbrandnamebluemonster;Blue Monster;
;Coreproductbrandnamebluestone;Blue Stone;
;Coreproductbrandnamebmd;BMD;
;Coreproductbrandnamebmj;BMJ;
;Coreproductbrandnameboisecascadebuildingmaterials;Boise Cascade Building Materials;
;Coreproductbrandnamebonus;Bonus;
;Coreproductbrandnamebooks;Books;
;Coreproductbrandnameborderconcepts;Border Concepts;
;Coreproductbrandnamebossmanufacturing;Boss Manufacturing;
;Coreproductbrandnameboulderlookstone;Boulder Look Stone;
;Coreproductbrandnamebowsmith;Bowsmith;
;Coreproductbrandnamebpv;BPV;
;Coreproductbrandnamebrandtconsolidated;Brandt Consolidated;
;Coreproductbrandnamebreeo;Breeo;
;Coreproductbrandnamebrickstop;Brickstop;
;Coreproductbrandnamebridgewellresources;Bridgewell Resources;
;Coreproductbrandnamebrillianceled;Brilliance LED;
;Coreproductbrandnamebriner&son;Briner & Son;
;Coreproductbrandnamebrinly-hardy;Brinly-Hardy;
;Coreproductbrandnamebroan-nutone;Broan-Nutone;
;Coreproductbrandnamebrooks;Brooks;
;Coreproductbrandnamebuckman's;Buckman'S;
;Coreproductbrandnamebucknersuperior;Buckner Superior;
;Coreproductbrandnameburly;Burly;
;Coreproductbrandnamebuysod;Buy Sod;
;Coreproductbrandnamebvp;BVP;
;Coreproductbrandnamebwi;BWI;
;Coreproductbrandnamecalam;Cal AM;
;Coreproductbrandnamecalsense;Calsense;
;Coreproductbrandnamecalstone;Calstone;
;Coreproductbrandnamecambridgebrass;Cambridge Brass;
;Coreproductbrandnamecambridgepaver;Cambridge Paver;
;Coreproductbrandnamecampaniainternational;Campania International;
;Coreproductbrandnamecapitalforest;Capital Forest;
;Coreproductbrandnamecarlisle;Carlisle;
;Coreproductbrandnamecarolina;Carolina;
;Coreproductbrandnamecarolinabulkagregates;Carolina Bulk Agregates;
;Coreproductbrandnamecarrhill;Carrhill;
;Coreproductbrandnamecastlighting;Cast Lighting;
;Coreproductbrandnamecastlerockquarries;Castlerock Quarries;
;Coreproductbrandnamecastohn;Castohn;
;Coreproductbrandnamecatchmaster;Catchmaster;
;Coreproductbrandnamecatchy;Catchy;
;Coreproductbrandnamecavecovestone;Cave Cove Stone;
;Coreproductbrandnamecentennialplastics;Centennial Plastics;
;Coreproductbrandnamecentralgarden&petcompany;Central Garden & Pet Company;
;Coreproductbrandnamecentralsalt;Central Salt;
;Coreproductbrandnamecentury;Century;
;Coreproductbrandnamecfiindustries;CFI Industries;
;Coreproductbrandnamechampion-arrowhead;Champion-Arrowhead;
